rule,name,value
ruler_441_r,average,1.6059999999999999
ruler_442_r,average,1.6059999999999999
ruler_443_r,average,1.6059999999999999
ruler_444_r,average,1.5544999999999998
ruler_445_r,average,1.5544999999999998
ruler_446_r,average,1.5544999999999998
ruler_447_r,average,1.5544999999999998
ruler_448_r,average,1.5544999999999998
ruler_449_r,average,1.5544999999999998
ruler_450_r,average,1.5544999999999998
ruler_451_r,average,1.5544999999999998
litvec,average,0.21250000000000002
litvec-0-0,average,0.21050000000000002
litvec-0-1,average,0.21050000000000002
litvec-0-2,average,0.21050000000000002
litvec-0-3,average,0.21050000000000002
ruler_0_lr,differential,-4038.9999999999995
ruler_0_lr-rev,differential,4038.9999999999995
ruler_1_lr,differential,4038.9999999999995
ruler_1_lr-rev,differential,-4038.9999999999995
ruler_2_lr,differential,-4038.9999999999995
ruler_2_lr-rev,differential,4038.9999999999995
ruler_3_lr,differential,4038.9999999999995
ruler_3_lr-rev,differential,-4038.9999999999995
ruler_4_r,differential,-10.001
ruler_5_r,differential,10.001
ruler_6_r,differential,-0.0009999999999994458
ruler_7_r,differential,0.0009999999999994458
ruler_8_r,differential,0
ruler_9_r,differential,0
ruler_10_r,differential,0
ruler_11_r,differential,0
ruler_12_r,differential,0
ruler_13_r,differential,0
ruler_14_r,differential,0
ruler_15_r,differential,0
ruler_16_r,differential,0
ruler_17_r,differential,0
ruler_18_r,differential,0
ruler_19_r,differential,0
ruler_20_r,differential,0
ruler_21_r,differential,0
ruler_22_r,differential,0
ruler_23_r,differential,0
ruler_24_r,differential,10
ruler_25_r,differential,-10
ruler_26_r,differential,10
ruler_27_r,differential,-10
ruler_28_r,differential,10
ruler_29_r,differential,-10
ruler_30_r,differential,4039.3000000000006
ruler_31_r,differential,-4039.3000000000006
ruler_32_r,differential,4039.3000000000006
ruler_33_r,differential,-4039.3000000000006
ruler_34_r,differential,1
ruler_35_r,differential,-1
ruler_36_r,differential,-4039.0000000000005
ruler_37_r,differential,4039.0000000000005
ruler_38_r,differential,0
ruler_39_r,differential,0
ruler_40_r,differential,0
ruler_41_r,differential,0
ruler_42_r,differential,-1.104
ruler_43_r,differential,1.104
ruler_44_r,differential,-1.104
ruler_45_r,differential,1.104
ruler_46_r,differential,-1.104
ruler_47_r,differential,1.104
ruler_48_r,differential,-1.104
ruler_49_r,differential,1.104
ruler_50_r,differential,4038.9999999999995
ruler_51_r,differential,-4038.9999999999995
ruler_52_r,differential,0
ruler_53_r,differential,0
ruler_54_r,differential,0
ruler_55_r,differential,0
ruler_56_r,differential,-1.001
ruler_57_r,differential,1.001
ruler_58_r,differential,0
ruler_59_r,differential,0
ruler_60_r,differential,0
ruler_61_r,differential,1.001
ruler_62_r,differential,1.001
ruler_63_r,differential,-1.104
ruler_64_r,differential,1.104
ruler_65_r,differential,-1.104
ruler_66_r,differential,1.104
ruler_67_r,differential,-1.104
ruler_68_r,differential,1.104
ruler_69_r,differential,1.104
ruler_70_r,differential,-1.104
ruler_71_r,differential,-4038.9999999999995
ruler_72_r,differential,4038.9999999999995
ruler_73_r,differential,0
ruler_74_r,differential,0
ruler_75_r,differential,0
ruler_76_r,differential,0
ruler_77_r,differential,-1.2080000000000002
ruler_78_r,differential,1.2080000000000002
ruler_79_r,differential,1.2080000000000002
ruler_80_r,differential,-1.2080000000000002
ruler_81_r,differential,0
ruler_82_r,differential,0
ruler_83_r,differential,-0.2999999999999998
ruler_84_r,differential,0.2999999999999998
ruler_85_r,differential,-0.2999999999999998
ruler_86_r,differential,0.2999999999999998
ruler_87_r,differential,-0.2999999999999998
ruler_88_r,differential,0.2999999999999998
ruler_89_r,differential,-0.2999999999999998
ruler_90_r,differential,0.2999999999999998
ruler_91_r,differential,1.104
ruler_92_r,differential,-1.104
ruler_93_r,differential,0
ruler_94_r,differential,0
ruler_95_r,differential,-0.2999999999999998
ruler_96_r,differential,0.2999999999999998
ruler_97_r,differential,0
ruler_98_r,differential,0
ruler_99_r,differential,0
ruler_100_r,differential,0
ruler_101_r,differential,0
ruler_102_r,differential,0
ruler_103_r,differential,0
ruler_104_r,differential,0
ruler_105_r,differential,1.001
ruler_106_r,differential,1.001
ruler_107_r,differential,1.001
ruler_108_r,differential,0.8979999999999997
ruler_109_r,differential,0.8979999999999997
ruler_110_r,differential,0.8979999999999997
ruler_111_r,differential,0.8979999999999997
ruler_112_r,differential,0.8979999999999997
ruler_113_r,differential,0.8979999999999997
ruler_114_r,differential,0.8979999999999997
ruler_115_r,differential,0.8979999999999997
ruler_116_r,differential,0.8979999999999997
ruler_117_r,differential,0.8979999999999997
ruler_118_r,differential,0
ruler_119_r,differential,0
ruler_120_r,differential,0
ruler_121_r,differential,0
ruler_122_r,differential,0
ruler_123_r,differential,0
ruler_124_r,differential,0
ruler_125_r,differential,0
ruler_126_r,differential,0
ruler_127_r,differential,0
ruler_128_r,differential,0
ruler_129_r,differential,0
ruler_130_r,differential,0
ruler_131_r,differential,0
ruler_132_r,differential,0
ruler_133_r,differential,0
ruler_134_r,differential,0
ruler_135_r,differential,0
ruler_136_r,differential,0
ruler_137_r,differential,0
ruler_138_r,differential,0
ruler_139_r,differential,0
ruler_140_r,differential,0
ruler_141_r,differential,0
ruler_142_r,differential,0
ruler_143_r,differential,0
ruler_144_r,differential,0
ruler_145_r,differential,0
ruler_146_r,differential,0
ruler_147_r,differential,0
ruler_148_r,differential,0
ruler_149_r,differential,0
ruler_150_r,differential,0
ruler_151_r,differential,0
ruler_152_r,differential,1.105
ruler_153_r,differential,-1.105
ruler_154_r,differential,1.105
ruler_155_r,differential,-1.105
ruler_156_r,differential,1.105
ruler_157_r,differential,-1.105
ruler_158_r,differential,-1.105
ruler_159_r,differential,1.105
ruler_160_r,differential,-1.2080000000000002
ruler_161_r,differential,1.2080000000000002
ruler_162_r,differential,-1.2080000000000002
ruler_163_r,differential,1.2080000000000002
ruler_164_r,differential,2.106
ruler_165_r,differential,2.106
ruler_166_r,differential,2.106
ruler_167_r,differential,-2.106
ruler_168_r,differential,-2.106
ruler_169_r,differential,2.106
ruler_170_r,differential,2.106
ruler_171_r,differential,-2.106
ruler_172_r,differential,2.106
ruler_173_r,differential,-2.106
ruler_174_r,differential,2.106
ruler_175_r,differential,-2.106
ruler_176_r,differential,-2.106
ruler_177_r,differential,2.106
ruler_178_r,differential,2.106
ruler_179_r,differential,2.106
ruler_180_r,differential,2.106
ruler_181_r,differential,2.106
ruler_182_r,differential,2.106
ruler_183_r,differential,-2.106
ruler_184_r,differential,2.106
ruler_185_r,differential,-2.106
ruler_186_r,differential,2.106
ruler_187_r,differential,-2.106
ruler_188_r,differential,2.106
ruler_189_r,differential,-2.106
ruler_190_r,differential,2.106
ruler_191_r,differential,-2.106
ruler_192_r,differential,2.106
ruler_193_r,differential,-2.106
ruler_194_r,differential,-2.106
ruler_195_r,differential,2.106
ruler_196_r,differential,-2.106
ruler_197_r,differential,2.106
ruler_198_r,differential,2.106
ruler_199_r,differential,2.106
ruler_200_r,differential,1.001
ruler_201_r,differential,1.001
ruler_202_r,differential,1.001
ruler_203_r,differential,1.001
ruler_204_r,differential,1.001
ruler_205_r,differential,0.8979999999999997
ruler_206_r,differential,0
ruler_207_r,differential,0
ruler_208_r,differential,0
ruler_209_r,differential,0
ruler_210_r,differential,0
ruler_211_r,differential,0
ruler_212_r,differential,0
ruler_213_r,differential,0
ruler_214_r,differential,0
ruler_215_r,differential,0
ruler_216_r,differential,0
ruler_217_r,differential,0
ruler_218_r,differential,0
ruler_219_r,differential,0
ruler_220_r,differential,0
ruler_221_r,differential,0
ruler_222_r,differential,0
ruler_223_r,differential,0
ruler_224_r,differential,0
ruler_225_r,differential,0
ruler_226_r,differential,1.2080000000000002
ruler_227_r,differential,-1.2080000000000002
ruler_228_r,differential,1.2080000000000002
ruler_229_r,differential,-1.2080000000000002
ruler_230_r,differential,1.2080000000000002
ruler_231_r,differential,-1.2080000000000002
ruler_232_r,differential,1.2080000000000002
ruler_233_r,differential,-1.2080000000000002
ruler_234_r,differential,1.2080000000000002
ruler_235_r,differential,-1.2080000000000002
ruler_236_r,differential,1.001
ruler_237_r,differential,1.001
ruler_238_r,differential,1.001
ruler_239_r,differential,1.001
ruler_240_r,differential,0
ruler_241_r,differential,0
ruler_242_r,differential,0
ruler_243_r,differential,0
ruler_244_r,differential,0
ruler_245_r,differential,0
ruler_246_r,differential,2.002
ruler_247_r,differential,2.002
ruler_248_r,differential,2.002
ruler_249_r,differential,1.001
ruler_250_r,differential,-1.001
ruler_251_r,differential,1.001
ruler_252_r,differential,-1.001
ruler_253_r,differential,-1.001
ruler_254_r,differential,1.001
ruler_255_r,differential,-1.001
ruler_256_r,differential,1.001
ruler_257_r,differential,0
ruler_258_r,differential,0
ruler_259_r,differential,0
ruler_260_r,differential,0
ruler_261_r,differential,0
ruler_262_r,differential,0
ruler_263_r,differential,0
ruler_264_r,differential,0
ruler_265_r,differential,0
ruler_266_r,differential,0
ruler_267_r,differential,0
ruler_268_r,differential,0
ruler_269_r,differential,0
ruler_270_r,differential,0
ruler_271_r,differential,0
ruler_272_r,differential,0
ruler_273_r,differential,-0.2999999999999998
ruler_274_r,differential,0.2999999999999998
ruler_275_r,differential,-0.2999999999999998
ruler_276_r,differential,0.2999999999999998
ruler_277_r,differential,-2.002
ruler_278_r,differential,2.002
ruler_279_r,differential,1.104
ruler_280_r,differential,-1.104
ruler_281_r,differential,0
ruler_282_r,differential,0
ruler_283_r,differential,-0.2999999999999998
ruler_284_r,differential,0.2999999999999998
ruler_285_r,differential,0
ruler_286_r,differential,0
ruler_287_r,differential,-0.2999999999999998
ruler_288_r,differential,0.2999999999999998
ruler_289_r,differential,-0.2999999999999998
ruler_290_r,differential,0.2999999999999998
